User Name,User ID,Points Balance,Total Harvested,Store Spent,Quest Points Earned,Quests Completed,Tips Given,Drops Claimed,Magic Embeds Claimed,Highest Tip Received,Total Tips Received,Total Tokens Received,Highest Tip Given,Total Tips Given,Total Magic Embeds
ShenBlake,1011409269691789312,160000,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeta,937394508772036629,160000,0,0,0,0,0,0,0,0,0,0,0,0,0
Htyphoon,350639704267554827,160000,0,0,0,0,0,0,0,0,0,0,0,0,0
Gale 1,986301774749134879,150000,0,0,0,0,0,0,0,0,0,0,0,0,0
¥aniesa¥orleone43|YOBBO,1190122205485477898,150000,0,0,0,0,0,0,0,0,0,0,0,0,0
MrsJF1984,1198736295845969980,145000,0,0,0,0,0,0,0,0,0,0,0,0,0
Undisputed treepleA,756577702604963960,125000,0,0,0,0,0,0,0,0,0,0,0,0,0
inkstaincowboy,1056627693619265596,120400,0,200000,0,0,0,0,0,0,0,0,0,0,0
Capital_🇷,1002066138617888778,110000,0,200000,0,0,0,0,0,0,0,0,0,0,0
Bored Cabbie,303697392157327360,110000,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinkpal,1014974234860199997,110000,0,0,0,0,0,0,0,0,0,0,0,0,0
Oluwapelumi,1222200013489180743,107400,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancient1053 | Champion,817203029291040819,107000,0,0,0,0,0,0,0,0,0,0,0,0,0
jimmyg85.eth,820695152795975721,106200,0,0,0,0,0,0,0,0,0,0,0,0,0
JMoreen | Watch Ya Neck!,443414647907811339,102000,0,0,0,0,0,0,0,0,0,0,0,0,0
Muzamil Beer,1167252145406488648,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacquly9 🦉,942142356537372692,100000,0,0,0,0,0,0,5,0,0,0,0,0,1
lanalina111,1320441586554769419,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
KaTaHaCaH,707522457619136542,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
Beenzo,1129110565118296144,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
RockApe | DeAgentAl,1126945806650462288,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
💯,1206547081808842794,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
LordLanto,903282819843911730,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
Wills 📈,1140072496905846934,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
BossPlayerT.X,592624674152906752,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
ArturPolak,1296597315041235036,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
Kestr0,982250249290678354,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
RyanJackV,1154887353370939542,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
irdg07,942194524619415633,93700,0,0,0,0,0,0,0,0,0,0,0,0,0
Believers,1202494597159456841,82000,0,0,0,0,0,0,0,0,0,0,0,0,0
ledropwcheese,825023944032518225,80000,0,0,0,0,0,0,0,0,0,0,0,0,0
BIG Sheyzzie😎🪁,1263586389052883037,80000,0,0,0,0,0,0,0,0,0,0,0,0,0
Dnextg🧢,850315742112514089,75800,0,0,0,0,0,0,0,0,0,0,0,0,0
whats-app,1142811808428732566,75000,0,0,0,0,0,0,0,0,0,0,0,0,0
venutschi,899524110441402401,75000,0,0,0,0,0,0,0,0,0,0,0,0,0
mohammed,409537495760371713,75000,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyp3rShocK,301937905486790656,70000,0,0,0,0,0,0,0,0,0,0,0,0,0
xlinx,1270833222787403887,67000,0,0,0,0,0,0,0,0,0,0,0,0,0
+[XX]Sir  Cronic[XX]+,533727593497755648,64000,0,0,0,0,0,0,0,0,0,0,0,0,0
Juani,937394540476760125,60000,0,0,0,0,0,0,0,0,0,0,0,0,0
GaroB,703615294966464533,58000,0,0,0,0,0,0,0,0,0,0,0,0,0
Nickfresh1,1029098424051707914,57600,0,0,0,0,0,0,0,0,0,0,0,0,0
BANJOO 'Eth,1101738237036343337,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
Rapu,1190361566047125577,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
thatneusguy,1305902450309595166,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
Rebelium,436155587504373761,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
ObviousGlee,943603635491844167,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
CoinnMann 🪙 ltcman 🪙,970328921893646390,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
flyingsowrds,1229084470829912127,50000,0,0,0,0,0,0,0,0,0,0,0,0,0
